Timestamp;Filename;Latitude;North/South;Longitude;East/West
24-04-2023 15:24:10;image_183.jpg;19/1,1/1,566/10;N;45/1,18/1,317/10;W
24-04-2023 15:24:59;image_184.jpg;16/1,37/1,123/10;N;43/1,20/1,594/10;W
24-04-2023 15:25:48;image_185.jpg;14/1,10/1,389/10;N;41/1,26/1,181/10;W
24-04-2023 15:26:38;image_186.jpg;11/1,41/1,375/10;N;39/1,33/1,181/10;W
24-04-2023 15:27:26;image_187.jpg;9/1,13/1,461/10;N;37/1,44/1,29/10;W
24-04-2023 15:28:15;image_188.jpg;6/1,44/1,576/10;N;35/1,56/1,170/10;W
24-04-2023 15:29:04;image_189.jpg;4/1,15/1,147/10;N;34/1,9/1,268/10;W
24-04-2023 15:29:54;image_190.jpg;1/1,44/1,166/10;N;32/1,22/1,428/10;W
24-04-2023 15:30:42;image_191.jpg;0/1,44/1,239/10;S;30/1,38/1,0/10;W
24-04-2023 15:31:31;image_192.jpg;3/1,14/1,20/10;S;28/1,52/1,264/10;W
24-04-2023 15:32:20;image_193.jpg;5/1,44/1,287/10;S;27/1,5/1,336/10;W
24-04-2023 15:33:10;image_194.jpg;8/1,14/1,512/10;S;25/1,17/1,225/10;W
24-04-2023 15:33:59;image_195.jpg;10/1,44/1,568/10;S;23/1,27/1,246/10;W
24-04-2023 15:34:48;image_196.jpg;13/1,12/1,138/10;S;21/1,36/1,555/10;W
24-04-2023 15:35:37;image_197.jpg;15/1,38/1,560/10;S;19/1,43/1,377/10;W
24-04-2023 15:36:26;image_198.jpg;18/1,4/1,452/10;S;17/1,47/1,16/10;W
24-04-2023 15:37:16;image_199.jpg;20/1,30/1,23/10;S;15/1,46/1,16/10;W
24-04-2023 15:38:05;image_200.jpg;22/1,53/1,434/10;S;13/1,40/1,376/10;W
24-04-2023 15:38:54;image_201.jpg;25/1,13/1,21/10;S;11/1,32/1,301/10;W
24-04-2023 15:39:43;image_202.jpg;27/1,30/1,376/10;S;9/1,18/1,227/10;W
24-04-2023 15:40:32;image_203.jpg;29/1,46/1,190/10;S;6/1,57/1,152/10;W
24-04-2023 15:41:22;image_204.jpg;31/1,59/1,412/10;S;4/1,28/1,132/10;W
24-04-2023 15:42:10;image_205.jpg;34/1,7/1,334/10;S;1/1,53/1,413/10;W
24-04-2023 15:43:00;image_206.jpg;36/1,11/1,588/10;S;0/1,50/1,24/10;E
24-04-2023 15:43:49;image_207.jpg;38/1,11/1,357/10;S;3/1,42/1,454/10;E
24-04-2023 15:44:38;image_208.jpg;40/1,6/1,399/10;S;6/1,46/1,372/10;E
24-04-2023 15:45:27;image_209.jpg;41/1,56/1,70/10;S;10/1,2/1,1/10;E
24-04-2023 15:46:16;image_210.jpg;43/1,37/1,315/10;S;13/1,26/1,98/10;E
24-04-2023 15:47:05;image_211.jpg;45/1,12/1,303/10;S;17/1,4/1,168/10;E
24-04-2023 15:47:55;image_212.jpg;46/1,40/1,448/10;S;20/1,59/1,64/10;E
24-04-2023 15:48:45;image_213.jpg;47/1,58/1,540/10;S;25/1,4/1,343/10;E
24-04-2023 15:49:33;image_214.jpg;49/1,5/1,478/10;S;29/1,17/1,409/10;E
24-04-2023 15:50:23;image_215.jpg;50/1,2/1,361/10;S;33/1,44/1,375/10;E
24-04-2023 15:51:12;image_216.jpg;50/1,47/1,553/10;S;38/1,22/1,272/10;E
24-04-2023 15:52:01;image_217.jpg;51/1,20/1,555/10;S;43/1,9/1,60/10;E
24-04-2023 15:52:50;image_218.jpg;51/1,40/1,449/10;S;47/1,57/1,19/10;E
